id;name_rus;element_number;element_name;info;base_value;multiplayer;grade_of_execution;scores_of_panel;rank;total_segment_score;total_element_score;total_component_score;total_deductions;type
id30;Вероника ЯМЕТОВА;4;FCSp4;;3.2;;0.96;4.16;7;74.45;40.06;34.39;0;sp
id30;Вероника ЯМЕТОВА;5;3F;;5.83;x;1.59;7.42;7;74.45;40.06;34.39;0;sp
id30;Вероника ЯМЕТОВА;6;StSq3;;3.3;;1.23;4.53;7;74.45;40.06;34.39;0;sp
id30;Вероника ЯМЕТОВА;7;LSp4;;2.7;;0.89;3.59;7;74.45;40.06;34.39;0;sp
id27;Софья САМОДЕЛКИНА;1;3A;;8.0;;-1.6;6.4;8;71.64;36.63;35.01;0;sp
id27;Софья САМОДЕЛКИНА;2;3F;;5.3;;1.59;6.89;8;71.64;36.63;35.01;0;sp
id27;Софья САМОДЕЛКИНА;3;FCSp4;;3.2;;0.91;4.11;8;71.64;36.63;35.01;0;sp
id27;Софья САМОДЕЛКИНА;4;3Lz+2Lo;;8.36;x;0.0;8.36;8;71.64;36.63;35.01;0;sp
id27;Софья САМОДЕЛКИНА;5;LSp3;;2.4;;0.45;2.85;8;71.64;36.63;35.01;0;sp
id27;Софья САМОДЕЛКИНА;6;StSq3;;3.3;;1.08;4.38;8;71.64;36.63;35.01;0;sp
id27;Софья САМОДЕЛКИНА;7;CCoSp3;;3.0;;0.64;3.64;8;71.64;36.63;35.01;0;sp
id2;Анастасия ЗИНИНА;1;2A;;3.3;;0.99;4.29;9;71.4;38.53;32.87;0;sp
id2;Анастасия ЗИНИНА;2;3F;;5.3;;1.36;6.66;9;71.4;38.53;32.87;0;sp
id2;Анастасия ЗИНИНА;3;FCSp4;;3.2;;0.96;4.16;9;71.4;38.53;32.87;0;sp
id2;Анастасия ЗИНИНА;4;3Lz+3T;;11.11;x;1.26;12.37;9;71.4;38.53;32.87;0;sp
id2;Анастасия ЗИНИНА;5;CCoSp4;;3.5;;0.85;4.35;9;71.4;38.53;32.87;0;sp
id2;Анастасия ЗИНИНА;6;StSq2;;2.6;;0.78;3.38;9;71.4;38.53;32.87;0;sp
id2;Анастасия ЗИНИНА;7;LSp4;;2.7;;0.62;3.32;9;71.4;38.53;32.87;0;sp
id17;София ЗАХАРОВА;1;3Lz+3T;;10.1;;1.18;11.28;10;68.21;37.15;31.06;0;sp
id17;София ЗАХАРОВА;2;2A;;3.3;;0.8;4.1;10;68.21;37.15;31.06;0;sp
id17;София ЗАХАРОВА;3;CCoSp4;;3.5;;0.95;4.45;10;68.21;37.15;31.06;0;sp
id17;София ЗАХАРОВА;4;3F;;5.83;x;1.06;6.89;10;68.21;37.15;31.06;0;sp
id17;София ЗАХАРОВА;5;FSSp4;;3.0;;0.73;3.73;10;68.21;37.15;31.06;0;sp
id17;София ЗАХАРОВА;6;StSq2;;2.6;;0.71;3.31;10;68.21;37.15;31.06;0;sp
id17;София ЗАХАРОВА;7;LSp4;;2.7;;0.69;3.39;10;68.21;37.15;31.06;0;sp
