id;name_rus;element_number;element_name;info;base_value;multiplayer;grade_of_execution;scores_of_panel;rank;total_segment_score;total_element_score;total_component_score;total_deductions;type
id86;Владимир ОЩЕПКОВ;5;CSSp4;;3.0;;0.3;3.3;7;65.01;31.44;33.57;0;sp
id86;Владимир ОЩЕПКОВ;6;StSq2;;2.6;;0.42;3.02;7;65.01;31.44;33.57;0;sp
id86;Владимир ОЩЕПКОВ;7;CCoSp3V;nS;2.25;;0.23;2.48;7;65.01;31.44;33.57;0;sp
id163;Егор КОВАЛЕНКО;1;3F!;!;5.3;;0.21;5.51;8;62.29;28.89;33.4;0;sp
id163;Егор КОВАЛЕНКО;2;2A;;3.3;;0.66;3.96;8;62.29;28.89;33.4;0;sp
id163;Егор КОВАЛЕНКО;3;CCSpB;;1.7;;0.17;1.87;8;62.29;28.89;33.4;0;sp
id163;Егор КОВАЛЕНКО;4;StSq1;;1.8;;0.25;2.05;8;62.29;28.89;33.4;0;sp
id163;Егор КОВАЛЕНКО;5;3Lz+3Tq;q;11.11;x;-0.59;10.52;8;62.29;28.89;33.4;0;sp
id163;Егор КОВАЛЕНКО;6;FSSp3;;2.6;;0.42;3.02;8;62.29;28.89;33.4;0;sp
id163;Егор КОВАЛЕНКО;7;CCoSp2V;nC;1.88;;0.08;1.96;8;62.29;28.89;33.4;0;sp
id74;Максим ВАРАКИН;1;4T<<;<<;4.2;;-2.1;2.1;9;58.69;27.05;31.64;0;sp
id74;Максим ВАРАКИН;2;3A<;<;6.4;;-3.2;3.2;9;58.69;27.05;31.64;0;sp
id74;Максим ВАРАКИН;3;CCoSp2V;nS;1.88;;0.15;2.03;9;58.69;27.05;31.64;0;sp
id74;Максим ВАРАКИН;4;3F+3T;;10.45;x;0.11;10.56;9;58.69;27.05;31.64;0;sp
id74;Максим ВАРАКИН;5;FCSp4;;3.2;;0.45;3.65;9;58.69;27.05;31.64;0;sp
id74;Максим ВАРАКИН;6;StSq1;;1.8;;0.29;2.09;9;58.69;27.05;31.64;0;sp
id74;Максим ВАРАКИН;7;CSSp4;;3.0;;0.42;3.42;9;58.69;27.05;31.64;0;sp
id85;Артём АЛЕЙНИКОВ;1;3A;;8.0;;-2.4;5.6;10;58.13;23.89;35.24;-1;sp
id85;Артём АЛЕЙНИКОВ;2;3F;;5.3;;-1.06;4.24;10;58.13;23.89;35.24;-1;sp
id85;Артём АЛЕЙНИКОВ;3;FCSp3;;2.8;;0.11;2.91;10;58.13;23.89;35.24;-1;sp
id85;Артём АЛЕЙНИКОВ;4;3Lz+COMBO;F;6.49;x;-2.95;3.54;10;58.13;23.89;35.24;-1;sp
id85;Артём АЛЕЙНИКОВ;5;CCoSp2V;nU;1.88;;0.15;2.03;10;58.13;23.89;35.24;-1;sp
id85;Артём АЛЕЙНИКОВ;6;StSq2;;2.6;;0.21;2.81;10;58.13;23.89;35.24;-1;sp
id85;Артём АЛЕЙНИКОВ;7;CSSp3;;2.6;;0.16;2.76;10;58.13;23.89;35.24;-1;sp
id83;Владимир КУЗНЕЦОВ;1;2A;;3.3;;0.26;3.56;11;53.43;23.86;29.57;0;sp
id83;Владимир КУЗНЕЦОВ;2;3Lz;;5.9;;-1.06;4.84;11;53.43;23.86;29.57;0;sp
id83;Владимир КУЗНЕЦОВ;3;FCSp3;;2.8;;0.17;2.97;11;53.43;23.86;29.57;0;sp
id83;Владимир КУЗНЕЦОВ;4;3F+2T;;7.26;x;-1.91;5.35;11;53.43;23.86;29.57;0;sp
id83;Владимир КУЗНЕЦОВ;5;StSq1;;1.8;;-0.14;1.66;11;53.43;23.86;29.57;0;sp
id83;Владимир КУЗНЕЦОВ;6;CCoSp3;;3.0;;-0.12;2.88;11;53.43;23.86;29.57;0;sp
id83;Владимир КУЗНЕЦОВ;7;CSSp3;;2.6;;0.0;2.6;11;53.43;23.86;29.57;0;sp
id79;Даниил ПОСТАРНАКОВ;1;4T;;9.5;;-3.99;5.51;12;53.01;25.45;29.56;-2;sp
id79;Даниил ПОСТАРНАКОВ;2;3A;F;8.0;;-4.0;4.0;12;53.01;25.45;29.56;-2;sp
id79;Даниил ПОСТАРНАКОВ;3;StSq2;F;2.6;;-1.2;1.4;12;53.01;25.45;29.56;-2;sp
id79;Даниил ПОСТАРНАКОВ;4;FCSp3;;2.8;;0.28;3.08;12;53.01;25.45;29.56;-2;sp
id79;Даниил ПОСТАРНАКОВ;5;3Lzq+3T;q;11.11;x;-2.71;8.4;12;53.01;25.45;29.56;-2;sp
id79;Даниил ПОСТАРНАКОВ;6;CCoSp3;;3.0;;0.06;3.06;12;53.01;25.45;29.56;-2;sp
id79;Даниил ПОСТАРНАКОВ;7;CSSp;;0.0;;0.0;0.0;12;53.01;25.45;29.56;-2;sp
